,COV_DOSE,COV_DOSE_2,COV_KNOWL_1,COV_KNOWL_2,COV_KNOWL_3,COV_KNOWL_4,COV_KNOWL_5,COV_KNOWL_6,COV_KNOWL_7,VAC_PASS_INT,ANX_1,ANX_2,ANX_3,ANX_4,ANX_5,ANX_6,DEMAGE,DREAD,DEMREG,DEMSEX,DEMEDU,DEMWRK,DEMREL,DEMINC,COV_INV,DEMNHS,COV_SHIELD,VAC_DEC,Q71,MIST_1,MIST_2,MIST_3,MIST_4,MIST_5,MIST_6,MIST_7,MIST_8,MIST_9,MIST_10,MIST_11,MIST_12,MIST_13,MIST_14,MIST_15,MIST_16,MIST_17,MIST_18,MIST_19,MIST_20,COV_TRUST_1,COV_TRUST_2,COV_TRUST_3,COV_TRUST_4,COV_TRUST_5,COV_TRUST_6,COV_TRUST_7,COV_TRUST_8,COV_TRUST_9,COV_TRUST_10,COV_TRUST_11,COV_TRUST_12,COV_TRUST_13,intention,VAC_PASS_1,VAC_PASS_2,VAC_PASS_3,VAC_PASS_4,VAC_PASS_5,VAC_PASS_6,VAC_PASS_7,VAC_PASS_UK,intenttarget_1,intenttarget_2,uptaketarget
7770,1,1,4,4,4,4,3,4,1,5.0,1,2,3,1,2,3,63,3,Wales,Male,Undergraduate or postgraduate degree,Working full-time,Other,"£35,000 to £44,999",Yes,No,No,0,Labour,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Real,Fake,Fake,Real,Fake,Fake,Fake,Real,Real,National television,0,Radio,Newspapers,0,0,0,0,0,The internet or search engines,0,0,0,,1,1,5,5,5,5,5,5,,,1.0
7772,,,3,4,4,3,3,4,1,5.0,2,2,3,1,1,2,37,2,South East,Male,"5+ GCSE, O-levels, 1 A level, or equivalents",Working full-time,Christian,"Over £100,000",No,No,No,1,Labour,Real,Fake,Real,Real,Real,Real,Real,Fake,Fake,Fake,Real,Real,Real,Fake,Real,Fake,Real,Fake,Real,Real,National television,0,0,0,0,0,Healthcare workers,0,Government websites,The internet or search engines,0,0,0,1.0,2,4,4,3,3,4,4,5,1.0,1.0,
7774,1,1,4,4,4,4,3,1,1,5.0,2,1,2,2,1,3,59,3,East Midlands,Female,Undergraduate or postgraduate degree,Retired,Christian,"Under £15,000",Yes,No,No,0,Conservative,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Real,Fake,Fake,Fake,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),Government websites,The internet or search engines,0,0,0,,1,2,4,4,4,5,2,5,,,1.0
7775,1,1,4,4,4,3,2,4,1,5.0,3,1,1,3,2,1,58,1,Yorkshire and The Humber,Female,"0-4 GCSE, O-levels, or equivalents",Retired,Christian,"£25,000 to £34,999",Yes,No,No,0,Conservative,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Real,Fake,Real,Real,Real,Real,National television,0,0,0,0,0,0,0,Government websites,0,0,0,0,,1,5,5,5,2,5,1,5,,,1.0
7778,,,4,4,4,1,4,4,1,3.0,3,1,2,3,1,2,59,2,Scotland,Female,"5+ GCSE, O-levels, 1 A level, or equivalents",Working part-time,Christian,"Under £15,000",No,No,No,1,SNP,Real,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Fake,Fake,Real,Real,Real,Real,Real,0,0,0,0,0,0,Healthcare workers,International health authorities (such as The World Health Organization),0,The internet or search engines,0,0,0,1.0,1,3,1,1,1,1,4,3,1.0,1.0,
7780,2,,4,4,4,4,4,1,1,5.0,2,1,1,2,2,1,69,1,North West,Male,2+ A levels or equivalents,Working part-time,Christian,"£35,000 to £44,999",Yes,Yes,No,0,Conservative,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Real,Fake,Fake,Real,Real,Real,Fake,0,Satellite / international television channels,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,0,Government websites,0,0,0,0,,1,2,5,2,2,5,2,5,,,1.0
7785,,,2,3,3,4,3,4,1,5.0,2,3,3,2,2,3,23,3,South West,Female,Undergraduate or postgraduate degree,Working full-time,Christian,"£65,000 to £99,999",No,No,No,0,Labour,Fake,Real,Real,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Fake,Real,Fake,Fake,Real,Fake,Fake,Fake,Real,National television,0,0,0,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,The internet or search engines,0,0,0,1.0,4,4,3,3,3,4,3,5,1.0,1.0,
7786,,,3,4,4,3,2,3,1,5.0,1,3,3,2,2,3,19,3,Yorkshire and The Humber,Female,2+ A levels or equivalents,Student,Muslim,"£15,000 to £24,999",No,No,No,0,Labour,Fake,Fake,Real,Fake,Fake,Real,Fake,Real,Real,Real,Real,Fake,Fake,Fake,Fake,Real,Real,Real,Fake,Real,National television,0,0,0,"Social media (Facebook, Twitter, etc)",0,0,0,0,The internet or search engines,0,"Work, school, or college",0,2.0,5,5,4,5,3,1,2,4,,1.0,
7791,1,1,4,4,4,4,4,4,1,3.0,3,1,1,3,3,1,69,1,South East,Male,Undergraduate or postgraduate degree,Retired,Atheist or agnostic,"£35,000 to £44,999",Yes,No,No,0,Labour,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Real,Real,Fake,Real,Fake,National television,0,0,0,0,0,0,0,Government websites,The internet or search engines,0,0,0,,1,1,5,5,5,5,1,3,,,1.0
7792,1,1,4,4,4,4,4,3,1,5.0,2,2,2,2,2,3,38,2,South East,Female,Undergraduate or postgraduate degree,Working part-time,Other,"£45,000 to £54,999",Yes,No,No,1,Labour,Real,Fake,Real,Real,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Real,Real,Real,Fake,Real,Real,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),0,The internet or search engines,0,0,0,,2,2,4,4,4,4,4,5,,,1.0
7793,,,4,3,4,3,2,1,4,2.0,3,3,1,3,3,1,27,3,East Midlands,Female,2+ A levels or equivalents,Working full-time,Christian,"£55,000 to £64,999",No,No,Yes,0,Green Party,Fake,Real,Real,Real,Real,Real,Fake,Fake,Real,Real,Fake,Fake,Fake,Real,Fake,Real,Real,Real,Fake,Fake,0,0,0,0,"Social media (Facebook, Twitter, etc)",0,0,0,0,0,0,0,0,4.0,5,5,4,5,5,5,3,4,0.0,0.0,
7794,1,1,4,4,4,4,3,4,1,5.0,2,1,1,2,2,1,60,2,South West,Male,"5+ GCSE, O-levels, 1 A level, or equivalents",Working part-time,Atheist or agnostic,"£65,000 to £99,999",Yes,No,No,0,Conservative,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Real,Fake,Real,Fake,Fake,Fake,National television,0,Radio,0,0,0,0,0,Government websites,0,0,0,0,,2,3,4,4,5,5,4,5,,,1.0
7795,1,1,4,4,4,4,4,1,1,3.0,2,2,1,3,3,1,64,2,Yorkshire and The Humber,Female,"5+ GCSE, O-levels, 1 A level, or equivalents",Retired,Atheist or agnostic,"Under £15,000",Yes,No,No,0,Conservative,Fake,Fake,Real,Fake,Real,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Real,Real,Real,Real,Real,Real,National television,0,0,0,0,0,0,0,0,0,0,0,0,,3,2,4,4,4,4,4,3,,,1.0
7799,1,1,3,4,4,4,4,4,1,3.0,3,1,1,3,2,1,71,1,Yorkshire and The Humber,Male,Undergraduate or postgraduate degree,Working full-time,Atheist or agnostic,"£25,000 to £34,999",Yes,No,No,0,Labour,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Fake,Fake,Real,Real,Real,Real,Real,National television,0,0,0,0,0,0,0,0,0,0,0,0,,1,3,3,1,1,3,2,3,,,1.0
7801,,,4,3,4,4,4,3,1,3.0,3,1,1,3,3,1,28,2,North East,Female,Undergraduate or postgraduate degree,Working full-time,Christian,"£35,000 to £44,999",No,No,No,0,Conservative,Fake,Fake,Fake,Fake,Real,Real,Fake,Fake,Fake,Fake,Real,Real,Fake,Real,Real,Real,Real,Real,Real,Real,0,0,Radio,Newspapers,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,The internet or search engines,Family and friends,0,0,1.0,2,3,4,4,5,4,5,3,1.0,1.0,
7802,1,1,4,4,4,4,2,1,1,3.0,1,2,2,1,1,2,53,2,West Midlands,Female,"5+ GCSE, O-levels, 1 A level, or equivalents",Working part-time,Atheist or agnostic,"Under £15,000",Yes,No,Yes,0,Labour,Fake,Fake,Fake,Fake,Real,Real,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Fake,Real,Real,Real,Fake,Fake,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,0,Family and friends,0,0,,4,1,2,2,4,4,1,3,,,1.0
7803,1,1,4,4,4,4,4,4,2,5.0,1,2,3,2,2,3,49,4,Greater London,Female,Other,Working part-time,Other,"Under £15,000",Yes,No,No,1,Labour,Fake,Fake,Fake,Real,Fake,Fake,Real,Fake,Real,Real,Real,Real,Fake,Real,Fake,Real,Real,Fake,Real,Real,National television,0,Radio,Newspapers,0,0,0,0,0,0,Family and friends,"Work, school, or college",0,,5,5,4,5,3,5,3,5,,,1.0
7804,1,2,4,4,4,4,3,3,4,4.0,3,1,2,3,2,2,36,1,Greater London,Female,Undergraduate or postgraduate degree,Working part-time,Christian,"£55,000 to £64,999",Yes,Yes,Yes,1,Labour,Fake,Real,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Real,Real,Fake,Real,Real,Fake,Real,Fake,Real,Real,National television,Satellite / international television channels,0,0,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,The internet or search engines,0,"Work, school, or college",0,,4,3,4,4,4,5,4,5,,,1.0
7807,,,4,4,4,4,4,4,1,5.0,2,2,1,2,2,3,39,3,North West,Male,No academic qualifications,Student,Christian,"Under £15,000",No,No,No,0,Labour,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Fake,Real,Real,Real,Real,Fake,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,0,0,"Work, school, or college",0,1.0,3,2,5,4,4,5,5,5,1.0,1.0,
7809,1,1,4,4,4,4,4,3,2,5.0,1,2,1,1,1,2,68,2,East Midlands,Female,2+ A levels or equivalents,Retired,Other,"Under £15,000",Yes,No,No,0,Conservative,Real,Real,Fake,Real,Real,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Real,Real,Real,Real,Real,National television,0,0,0,0,0,0,0,Government websites,0,0,0,0,,1,1,4,5,4,5,4,5,,,1.0
7810,1,1,4,4,4,4,3,3,1,3.0,1,3,3,1,2,3,20,4,North East,Female,"0-4 GCSE, O-levels, or equivalents",Unable to work,Christian,"Under £15,000",Yes,Yes,No,0,Labour,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,0,0,0,0,0,0,Healthcare workers,0,0,0,0,0,0,,3,3,3,3,3,1,3,1,,,1.0
7814,2,,4,4,4,4,4,2,1,3.0,1,3,3,1,1,3,41,3,Wales,Female,"5+ GCSE, O-levels, 1 A level, or equivalents",Working part-time,Muslim,"£35,000 to £44,999",Yes,No,No,1,Other/Not eligible,Real,Fake,Real,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Fake,Fake,Fake,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,0,Family and friends,0,0,,3,2,4,4,4,3,5,3,,,1.0
7816,2,,3,3,3,3,3,3,1,3.0,3,3,3,2,3,3,31,2,North East,Female,Undergraduate or postgraduate degree,Working full-time,Christian,"£15,000 to £24,999",Yes,No,No,1,Labour,Real,Real,Real,Fake,Fake,Real,Real,Fake,Real,Fake,Fake,Fake,Real,Fake,Real,Real,Real,Fake,Real,Real,National television,0,0,0,0,0,0,0,0,0,0,0,0,,4,4,4,4,4,4,4,4,,,1.0
7818,1,2,4,4,4,4,4,2,1,5.0,3,1,1,3,2,1,54,1,South West,Female,Undergraduate or postgraduate degree,Unemployed,Christian,"£15,000 to £24,999",Yes,No,No,0,Conservative,Fake,Fake,Real,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Real,Real,Real,Fake,Real,Fake,National television,0,0,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,,4,4,2,2,2,2,5,4,,,1.0
7821,,,4,4,4,4,4,2,1,5.0,2,1,2,2,2,2,42,2,East of England,Male,Undergraduate or postgraduate degree,Working full-time,Christian,"£15,000 to £24,999",No,No,No,0,Conservative,Real,Fake,Fake,Fake,Real,Fake,Real,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Fake,Fake,Fake,Real,Fake,National television,0,0,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,The internet or search engines,0,0,0,1.0,5,1,4,5,5,5,5,5,1.0,1.0,
7822,,,4,4,4,4,4,4,1,3.0,2,1,1,2,2,1,46,1,Yorkshire and The Humber,Female,Undergraduate or postgraduate degree,Working full-time,Christian,"£25,000 to £34,999",No,No,No,0,Conservative,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Fake,Real,Fake,Fake,National television,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,5,5,5,4,3,3,1.0,1.0,
7823,,,3,4,4,4,3,4,1,5.0,2,3,2,2,2,2,18,3,South East,Male,"5+ GCSE, O-levels, 1 A level, or equivalents",Student,Atheist or agnostic,"£35,000 to £44,999",No,No,Yes,0,Labour,Fake,Real,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Real,Fake,Real,Fake,Fake,Real,Fake,Fake,Real,Real,0,0,0,0,0,0,0,0,0,0,0,"Work, school, or college",0,1.0,2,3,5,4,4,5,2,5,1.0,1.0,
7829,1,1,4,4,4,4,3,1,1,5.0,2,2,2,2,3,2,39,3,West Midlands,Female,Undergraduate or postgraduate degree,Working full-time,Christian,"£25,000 to £34,999",Yes,No,No,1,Conservative,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,National television,Satellite / international television channels,Radio,Newspapers,0,0,Healthcare workers,0,Government websites,0,Family and friends,0,0,,1,3,5,3,3,5,5,5,,,1.0
7833,1,1,4,3,4,4,3,4,4,3.0,3,2,1,3,3,2,41,1,Greater London,Female,Undergraduate or postgraduate degree,Working full-time,Christian,"Over £100,000",Yes,No,No,1,Labour,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Real,Fake,Real,Fake,Real,Real,Fake,Real,Real,Real,Fake,Fake,National television,0,0,0,0,0,0,0,0,The internet or search engines,Family and friends,0,0,,3,3,3,3,3,3,3,3,,,1.0
7834,3,,2,2,4,4,2,3,2,2.0,3,2,2,3,3,3,33,1,Greater London,Male,Undergraduate or postgraduate degree,Working full-time,Christian,"£25,000 to £34,999",Yes,No,Yes,0,Labour,Real,Fake,Real,Real,Real,Real,Real,Real,Real,Fake,Real,Real,Fake,Fake,Real,Fake,Fake,Real,Real,Real,0,0,Radio,0,0,0,0,0,0,0,0,0,0,2.0,3,2,1,2,3,3,4,2,,1.0,0.0
7836,,,4,4,4,4,3,4,4,1.0,3,2,3,3,2,3,45,4,Scotland,Male,Undergraduate or postgraduate degree,Working full-time,Christian,"£65,000 to £99,999",No,No,Yes,1,Labour,Real,Real,Fake,Real,Real,Real,Real,Real,Fake,Real,Fake,Real,Real,Real,Real,Fake,Real,Real,Real,Real,National television,0,Radio,Newspapers,"Social media (Facebook, Twitter, etc)",0,0,International health authorities (such as The World Health Organization),0,The internet or search engines,0,"Work, school, or college",0,1.0,4,5,4,5,5,5,5,5,1.0,1.0,
7837,,,1,1,2,1,1,1,1,3.0,1,3,2,2,2,2,33,4,Greater London,Male,Undergraduate or postgraduate degree,Working full-time,Atheist or agnostic,"£55,000 to £64,999",No,No,No,0,Green Party,Fake,Fake,Real,Fake,Fake,Real,Real,Fake,Real,Real,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,National television,0,0,Newspapers,0,0,0,0,0,0,0,0,0,1.0,3,3,4,1,3,2,3,2,1.0,1.0,
7839,1,1,4,4,4,4,3,2,2,4.0,2,2,2,2,2,3,59,2,Wales,Female,Other,Working part-time,Christian,"£35,000 to £44,999",Yes,No,No,1,Conservative,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Fake,Real,Real,Real,Real,Real,Real,National television,0,Radio,0,0,0,0,0,0,0,0,0,0,,3,3,2,3,3,3,3,3,,,1.0
7843,2,,4,4,4,3,4,2,1,3.0,2,2,2,2,2,2,51,2,South East,Female,Undergraduate or postgraduate degree,Working full-time,Atheist or agnostic,"£65,000 to £99,999",Yes,No,No,1,Labour,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Real,Real,Real,Real,Real,Fake,Real,0,0,0,0,0,0,0,0,Government websites,0,0,"Work, school, or college",0,,3,3,3,3,3,4,3,3,,,1.0
7846,1,1,4,4,4,4,4,4,1,5.0,3,1,1,2,2,2,62,3,Wales,Female,"5+ GCSE, O-levels, 1 A level, or equivalents",Working part-time,Christian,"£45,000 to £54,999",Yes,No,No,0,Labour,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Real,Fake,Real,National television,0,0,0,0,0,0,0,0,The internet or search engines,0,0,0,,3,2,4,4,4,4,4,5,,,1.0
7851,1,1,4,4,4,4,4,2,1,3.0,2,2,1,2,2,2,39,3,Greater London,Female,Undergraduate or postgraduate degree,Working full-time,Christian,"£35,000 to £44,999",Yes,No,No,0,Labour,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Real,Real,Real,Real,Real,Real,0,0,0,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,0,0,0,0,,4,2,3,3,3,4,3,3,,,1.0
7854,,,4,4,4,4,3,2,1,5.0,2,3,3,2,2,3,21,4,East Midlands,Female,Undergraduate or postgraduate degree,Student,Atheist or agnostic,"Under £15,000",No,No,No,1,Conservative,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Real,Fake,Real,Real,Real,Fake,Fake,National television,0,0,0,"Social media (Facebook, Twitter, etc)",0,0,0,0,The internet or search engines,Family and friends,"Work, school, or college",0,1.0,2,2,4,5,4,4,5,5,1.0,1.0,
7857,2,,4,4,2,1,4,4,4,2.0,2,3,3,3,2,2,30,2,Greater London,Male,Undergraduate or postgraduate degree,Working full-time,Christian,"£55,000 to £64,999",Yes,Yes,Yes,1,Labour,Real,Fake,Real,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Real,Real,Fake,Fake,Fake,Fake,Real,Fake,Real,0,0,Radio,0,0,0,0,0,0,0,0,0,0,,4,5,4,5,5,5,4,4,,,1.0
7858,1,1,4,4,4,4,4,4,1,4.0,2,2,2,2,3,3,39,3,Yorkshire and The Humber,Female,2+ A levels or equivalents,Looking after the home,Christian,"£35,000 to £44,999",Yes,No,No,1,Labour,Real,Fake,Real,Real,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,0,0,Radio,0,0,0,Healthcare workers,0,0,0,Family and friends,0,0,,1,1,5,3,3,4,4,4,,,1.0
7860,,,3,2,3,3,3,2,1,4.0,2,3,3,2,2,3,27,2,Greater London,Female,Undergraduate or postgraduate degree,Unemployed,Other,"Under £15,000",No,No,No,0,Other/Not eligible,Fake,Fake,Fake,Fake,Real,Fake,Real,Fake,Fake,Fake,Real,Fake,Fake,Real,Real,Real,Real,Real,Real,Fake,National television,Satellite / international television channels,0,Newspapers,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,The internet or search engines,Family and friends,0,0,1.0,3,4,2,2,1,3,4,3,1.0,1.0,
7865,1,1,4,2,4,4,2,1,1,3.0,2,1,2,2,2,1,64,1,East Midlands,Male,Undergraduate or postgraduate degree,Looking after the home,Atheist or agnostic,"£15,000 to £24,999",Yes,No,Yes,0,Labour,Real,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Real,Real,Fake,Real,Fake,Real,Real,Fake,Real,Fake,National television,Satellite / international television channels,0,Newspapers,0,0,0,0,Government websites,0,0,0,0,,3,2,4,5,5,5,2,3,,,1.0
7867,3,,3,4,4,4,3,3,1,2.0,2,3,2,1,2,2,20,4,East of England,Female,"5+ GCSE, O-levels, 1 A level, or equivalents",Student,Christian,"£15,000 to £24,999",Yes,Yes,No,1,Conservative,Fake,Fake,Real,Real,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Fake,Real,Real,Fake,Fake,Fake,Fake,Real,0,0,Radio,0,"Social media (Facebook, Twitter, etc)",0,Healthcare workers,0,Government websites,The internet or search engines,Family and friends,"Work, school, or college",0,1.0,3,4,2,4,2,2,4,1,1.0,1.0,0.0
7870,1,1,4,4,4,4,4,4,4,5.0,1,2,2,1,2,2,28,3,Greater London,Female,Undergraduate or postgraduate degree,Working full-time,Christian,"£65,000 to £99,999",Yes,No,No,0,Conservative,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),0,0,Family and friends,0,0,,5,4,5,4,5,5,5,3,,,1.0
7872,1,1,4,4,3,4,3,1,1,3.0,1,3,3,1,1,3,60,2,South East,Female,"5+ GCSE, O-levels, 1 A level, or equivalents",Working full-time,Atheist or agnostic,"£65,000 to £99,999",Yes,No,No,0,Conservative,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Real,Real,National television,0,0,Newspapers,0,0,0,0,Government websites,The internet or search engines,0,0,0,,2,1,3,5,5,5,3,3,,,1.0
7877,,,4,3,3,2,3,2,4,3.0,3,3,3,3,3,3,25,3,Greater London,Male,No academic qualifications,Working full-time,Christian,"£25,000 to £34,999",No,No,No,0,Conservative,Fake,Fake,Fake,Fake,Real,Fake,Fake,Real,Fake,Real,Fake,Fake,Fake,Real,Real,Real,Fake,Real,Real,Real,0,0,0,Newspapers,0,0,0,0,0,The internet or search engines,0,0,0,1.0,4,4,3,4,5,4,4,3,1.0,1.0,
7879,1,2,3,4,3,4,3,4,2,2.0,2,3,2,1,2,2,27,2,Greater London,Female,Undergraduate or postgraduate degree,Working full-time,Christian,"£25,000 to £34,999",Yes,No,Yes,1,Labour,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Fake,Fake,Fake,Real,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),0,0,0,0,0,,5,3,3,4,4,5,3,4,,,1.0
7882,,,4,4,4,4,4,3,1,5.0,2,2,1,1,2,2,40,3,Yorkshire and The Humber,Female,Undergraduate or postgraduate degree,Looking after the home,Christian,"£35,000 to £44,999",No,No,No,1,Labour,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,National television,Satellite / international television channels,Radio,Newspapers,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,The internet or search engines,Family and friends,"Work, school, or college",0,1.0,2,1,5,3,4,5,5,5,1.0,1.0,
7883,1,1,4,3,3,4,4,4,1,5.0,2,2,3,2,3,2,32,3,North East,Female,"5+ GCSE, O-levels, 1 A level, or equivalents",Working full-time,Christian,"£25,000 to £34,999",Yes,No,No,1,Labour,Fake,Real,Real,Fake,Real,Fake,Real,Fake,Fake,Fake,Real,Fake,Fake,Real,Real,Real,Real,Fake,Real,Fake,0,0,Radio,0,"Social media (Facebook, Twitter, etc)",0,0,0,0,The internet or search engines,0,"Work, school, or college",0,,5,3,5,5,1,5,5,5,,,1.0
7886,,,4,4,4,4,3,4,1,5.0,3,1,1,2,2,1,35,1,East of England,Male,2+ A levels or equivalents,Working full-time,Christian,"£65,000 to £99,999",No,No,No,1,Conservative,Real,Real,Fake,Real,Fake,Fake,Real,Real,Fake,Real,Real,Fake,Fake,Real,Fake,Fake,Fake,Real,Real,Real,National television,0,Radio,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,The internet or search engines,Family and friends,"Work, school, or college",0,1.0,2,1,5,2,4,2,5,5,1.0,1.0,
7887,1,1,4,4,4,4,4,4,1,5.0,3,1,1,3,2,1,59,1,Yorkshire and The Humber,Female,Undergraduate or postgraduate degree,Retired,Christian,"£25,000 to £34,999",Yes,No,No,0,Conservative,Real,Fake,Real,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Real,Real,Fake,Real,Real,Real,Fake,Real,Real,National television,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,5,5,5,4,5,5,,,1.0
7888,1,1,3,4,4,3,3,4,1,3.0,3,1,1,3,3,1,64,1,Wales,Male,Undergraduate or postgraduate degree,Retired,Atheist or agnostic,"£25,000 to £34,999",Yes,No,No,0,Conservative,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Real,Fake,Real,Real,National television,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,4,5,4,5,4,3,,,1.0
7890,1,2,1,2,4,3,3,1,3,1.0,1,2,3,3,3,3,26,4,Yorkshire and The Humber,Female,Undergraduate or postgraduate degree,Working full-time,Christian,"£45,000 to £54,999",Yes,Yes,Yes,0,Liberal Democrat,Fake,Real,Real,Fake,Fake,Real,Real,Fake,Fake,Fake,Real,Fake,Fake,Real,Fake,Real,Fake,Real,Fake,Real,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,0,0,0,0,,4,3,3,5,4,4,2,4,,,1.0
7891,1,1,4,4,4,4,4,3,2,5.0,2,1,1,2,2,1,41,1,West Midlands,Female,Undergraduate or postgraduate degree,Working full-time,Christian,"£55,000 to £64,999",Yes,No,No,1,Conservative,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Real,Fake,Real,Fake,Real,Real,Fake,Fake,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,0,0,0,0,,4,3,2,2,2,4,3,5,,,1.0
